drug,disease
457,392
588,309
314,73
49,125
72,1
14,310
588,259
248,81
358,352
268,362
468,85
83,3
241,257
443,362
19,391
86,378
138,135
119,404
268,147
383,358
115,347
471,376
462,280
433,347
351,387
464,182
75,99
239,99
183,174
242,149
242,1
5,181
167,347
70,224
184,99
254,390
227,274
118,347
375,371
610,73
292,28
420,99
559,344
340,347
227,208
369,69
142,369
252,99
297,354
382,224
301,382
252,103
138,390
301,36
321,401
36,1
500,128
166,135
105,364
118,359
446,371
166,259
83,247
358,388
430,36
182,362
540,347
176,19
170,359
461,81
462,24
430,181
105,134
305,124
9,93
574,8
397,405
332,359
471,181
239,347
625,358
551,174
369,316
455,344
315,312
142,9
388,73
570,124
19,10
321,124
482,318
387,44
241,222
501,359
484,19
238,365
598,208
337,280
455,10
84,362
402,94
287,199
328,222
263,392
576,325
241,151
292,382
309,117
521,347
297,369
166,136
75,267
142,342
598,399
516,80
455,390
395,362
567,405
356,181
651,358
275,280
48,182
29,99
241,272
252,128
161,364
72,136
245,405
241,208
136,69
486,357
248,99
268,106
455,136
397,177
161,259
161,135
161,136
340,351
570,162
213,252
571,272
455,354
552,199
244,280
247,128
546,124
70,247
551,99
578,371
569,385
503,359
208,376
145,390
166,163
87,144
358,162
227,237
275,100
86,125
367,181
205,390
260,138
505,280
315,135
148,364
101,89
48,124
275,362
587,208
213,280
99,149
546,174
462,65
413,228
227,272
337,106
518,144
556,277
241,20
351,397
87,130
205,134
596,113
72,390
83,132
150,371
571,331
267,331
136,334
267,239
268,183
294,322
227,224
588,136
551,370
268,8
367,392
307,129
306,280
455,369
263,128
461,162
459,222
351,199
72,259
150,359
382,114
154,247
148,312
596,65
387,271
383,89
319,358
518,85
241,239
12,301
245,21
161,370
501,362
587,183
482,40
397,196
19,9
138,309
377,391
661,347
369,196
383,322
356,55
556,280
40,73
430,117
402,405
164,405
567,196
306,239
567,316
48,196
314,181
318,153
171,251
229,25
343,322
461,117
110,318
351,386
315,259
493,392
449,168
514,88
387,280
643,344
326,149
461,1
5,73
402,316
72,344
588,134
571,224
142,10
19,342
72,312
237,128
453,239
87,168
587,107
505,19
388,392
275,358
226,243
273,130
87,197
486,136
245,289
208,73
449,3
175,55
14,268
255,124
634,358
267,280
90,277
343,183
199,99
486,342
90,19
241,224
587,280
247,99
340,358
358,313
263,73
307,124
356,89
459,271
136,405
455,391
275,107
152,267
99,365
453,224
307,251
244,24
9,94
356,376
633,107
578,271
292,405
154,341
643,364
559,134
268,156
500,149
202,8
183,405
72,364
72,134
387,316
154,280
253,322
328,38
61,280
253,183
109,181
105,390
455,364
624,11
261,168
146,334
227,247
161,390
462,345
241,245
314,128
333,392
29,44
49,49
83,130
315,136
170,371
275,316
377,357
588,135
358,163
343,371
252,181
588,344
587,196
546,311
559,370
652,371
150,362
453,272
254,135
138,364
377,408
588,312
307,188
263,181
377,9
331,134
351,293
145,259
205,259
383,371
455,135
486,9
464,316
294,69
449,197
490,37
500,1
253,371
572,68
255,174
625,183
552,212
146,69
22,282
268,358
225,89
14,130
439,183
241,350
493,89
70,239
145,312
83,280
248,325
364,405
183,146
486,370
387,107
268,347
643,136
71,405
244,224
170,100
226,133
470,345
643,259
199,73
199,376
500,376
227,331
439,73
430,89
175,38
559,259
468,360
464,3
245,124
461,127
383,359
501,100
175,347
105,312
343,347
462,224
176,239
461,99
166,309
50,117
275,44
307,182
248,76
105,136
486,135
315,134
75,289
164,182
305,138
331,212
254,312
455,259
275,16
356,117
227,239
587,359
315,344
318,197
326,67
254,136
307,196
576,44
105,370
559,309
455,357
643,1
455,312
248,1
199,392
254,344
50,289
170,347
248,124
643,390
161,37
486,390
22,130
328,347
268,127
213,20
470,280
227,280
29,164
205,370
551,136
164,8
202,133
402,124
141,36
559,135
110,153
141,146
19,354
166,344
493,181
252,12
328,131
297,408
587,358
621,89
486,309
193,149
430,392
587,316
145,309
482,405
142,37
387,298
275,298
117,358
453,280
275,183
430,128
161,309
213,224
413,199
576,328
330,44
407,124
109,128
551,259
407,405
